fecha,local_id,local_nombre,comuna_nombre,localidad_nombre,local_direccion,funcionamiento_hora_apertura,funcionamiento_hora_cierre,local_telefono,local_lat,local_lng,funcionamiento_dia,fk_region,fk_comuna,fk_localidad,turno,funcionamiento_hora_apertura_turno,funcionamiento_hora_cierre_turno,region_nombre
01-05-22,1,Cruz Verde ,Quillota,Quillota,"Ohiggins 195, Local 1",10:00:00,18:30:00,+5633332269467,-32.8793428949969,-71.2467871500868,domingo,6,69,32,No,,,Valparaíso
01-05-22,2,Cruz Verde,La Calera,La Calera,J.J. Perez 202,09:00:00,19:30:00,+56332724714,-32.788066282624,-71.1897310126255,domingo,6,56,12,No,,,Valparaíso
01-05-22,8,Ahumada,La Calera,La Calera,Prolongacion Jj. Perez 12010,09:00:00,19:00:00,+56026313722,-32.7908926027982,-71.1920957384256,domingo,6,56,12,No,,,Valparaíso
01-05-22,9,Ahumada,Quillota,Quillota,Av. 21 De Mayo 311,08:30:00,19:00:00,+5633314997,-32.8743896181991,-71.2419067293266,domingo,6,69,32,No,,,Valparaíso
01-05-22,11,Salcobrand,La Calera,La Calera,J.J. Perez 205,10:00:00,19:30:00,+56332225450,-32.7880523605412,-71.1894957968335,domingo,6,56,12,No,,,Valparaíso
01-05-22,17,Cruz Verde,Quillota,Quillota,Chacabuco 281,10:00:00,20:00:00,+56332319578,-32.878335491624,-71.246141889165,domingo,6,69,32,No,,,Valparaíso
01-05-22,20,Salcobrand,Limache,Limache,Urmeneta 68,11:30:00,20:00:00,+560224223300 anexo 5300,-32.9851431062104,-71.2763421550883,domingo,6,59,17,No,,,Valparaíso
01-05-22,23,San Nicolas,La Calera,La Calera,J.J. Perez N° 396,10:30:00,15:30:00,+56332229552,-32.7862582411004,-71.189985617592,domingo,6,56,12,No,,,Valparaíso
01-05-22,24,Tamanaco,La Calera,La Calera,Aldunate 222,10:00:00,14:00:00,+56332222201,-32.7881186052151,-71.1908639639646,domingo,6,56,12,No,,,Valparaíso
01-05-22,25,La Cruz,La Cruz,La Cruz,21 De Mayo N° 5481,09:00:00,21:00:00,+56332254902,-32.8252324978247,-71.2268391982971,domingo,6,57,13,No,,,Valparaíso
01-05-22,27,Cruz Verde,Limache,Limache,Urmeneta 96,10:30:00,20:30:00,+56332414551,-32.9853313679932,-71.2759083062112,domingo,6,59,17,Si,09:00:00,08:59:00,Valparaíso
01-05-22,37,Salcobrand,La Cruz,La Cruz,"21 De Mayo 5628, Local 1, La Cruz",10:00:00,18:00:00,+56332320677,-32.8235326035501,-71.2260811844591,domingo,6,57,13,No,,,Valparaíso
01-05-22,39,Cruz Verde,Limache,Limache,Palmira Romano 405,10:00:00,18:30:00,+56332414665,-33.0021934734243,-71.2680155185573,domingo,6,59,17,No,,,Valparaíso
01-05-22,43,Ahumada,Quilpue,Quilpue,Diego Portales N° 802,09:00:00,19:00:00,+563219,-33.0469493869154,-71.4416812900202,domingo,6,70,33,No,,,Valparaíso
01-05-22,44,Ahumada,Quilpue,Quilpue,Av.Freire N° 2414  Local 1082,09:00:00,19:00:00,+56650226316549,-33.0452029096277,-71.420263192104,domingo,6,70,33,No,,,Valparaíso
